,8:00-9:30,9:30-11:00,11:00-12:30,12:30-2:00,2:00-3:30,3:30-5:00,5:00-6:30,6:30-8:00,
,8:00-11:00,11:00-2:00,2:00-5:00,5:00-8:00,
,English Lab-III,No Class,No Class,No Class,Design & Analysis of Algorithms (CS-F),No Class,No Class,No Class,No Class,
,Lab(CS-1),Database Systems Lab (CS-A1 & CS-A2),No lab,No lab,No lab,
,Lab(CS-4),No lab,No lab,No lab,No lab,
,Lab(CS-6),Database Systems Lab (CS-B1 & CS-B2),No lab,No lab,No lab,
,Lab(CS-8),No lab,No lab,No lab,No lab,
,Lab(CS-9),Operating Systems Lab (CS-C1 & CS-C2),Reserved for Fast School of Management (FSM),No lab,No lab,
,Lab(CS-10),Operating Systems Lab (CS-D1 & CS-D2),No lab,No lab,No lab,
,Physics Lab,Digital Logic Design Lab (CS-B1),Digital Logic Design Lab (CS-C2),Digital Logic Design Lab (CS-A2),No lab,
,Micro Lab,Digital Logic Design Lab (CS-B2),No lab,No lab,No lab,
,Friday,
,CS-1,No Class,No Class,Digital Image Processing (CS),Natural Language Processing (MS),No Class,Human Resource Management (MS-SPM),No Class,No Class,
,CS-2,No Class,Advance Operating Systems (MS),No Class,No Class,No Class,No Class,Software QA & Management (MS-SPM),No Class,
,CS-3,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CS-4,No Class,Object Oriented Programming (CS-F),Object Oriented Programming (CS-E),No Class,No Class,No Class,No Class,No Class,
,CS-5,No Class,Object Oriented Programming (CS-C),Object Oriented Programming (CS-D),No Class,No Class,No Class,No Class,No Class,
,CS-6,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CS-7,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CS-8,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CS-9,Total Quality Management (CS),No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CS-10,Big Data Analytics / Mining Massive Datasets (MS-DS),No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CS-11,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CS-15,Research Project - I / II (MS-SPM),No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CS-16,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,Seminar Hall,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CE-2,Pakistan Studies (CS-G),No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CE-3,Pakistan Studies (CS-A),Differential Equations (Cal II) (CS-E),Modern Politics & Government (CS),No Class,No Class,No Class,No Class,No Class,
,English Lab-I,Comm & Presentation Skills Lab (CS-F1),No Class,Comm & Presentation Skills Lab (CS-A1),No Class,No Class,No Class,No Class,No Class,
,English Lab-II,Comm & Presentation Skills Lab (CS-F2),No Class,Comm & Presentation Skills Lab (CS-A2),No Class,No Class,No Class,No Class,No Class,
,English Lab-III,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,Lab(CS-1),Computer Networks Lab (CS-A1 & CS-A2),Jumah Break,Database Systems Lab (CS-E1 & CS-E2),No lab,
,Lab(CS-4),Comp. Org. & Assembly Lang.  Lab (CS-C1 & CS-C2),Jumah Break,Comp. Org. & Assembly Lang.  Lab (CS-A1 & CS-A2),No lab,
,Lab(CS-6),Reserved for FAST EE Department,Jumah Brak,Programming Fundamentals Lab (CS-I1),No lab,
,Lab(CS-8),No lab,Jumah Break,No Lab,No lab,
,Lab(CS-9),Operating Systems Lab (CS-E1 & CS-E2),Jumah Break,Comp. Org. & Assembly Lang.  Lab (CS-B1 & CS-B2),No lab,
,Lab(CS-10),Object Oriented Analysis & Design Lab (CS-A1 & CS-A2),Jumah Break,Computer Networks Lab (CS-B1 & CS-B2),No lab,
,Physics Lab,Digital Logic Design Lab (CS-H1),Jumah Break,Digital Logic Design Lab (CS-G1),No lab,
,Micro Lab,Digital Logic Design Lab (CS-H2),Jumah Break,No lab,No lab,
